Category,Estimated TB incidence per 100 000 population,Uncertainty interval (low),Uncertainty interval (high),New and relapse TB cases notified per 100 000 population
2010,704.2,572.9,848.8,263.1
2011,808.7,658,974.7,310
2012,784,637.9,944.9,308.1
2013,887.7,722.2,1069.9,357.5
2014,870.5,708.2,1049.1,359
2015,1006,818.4,1212.4,424.6
2016,1007.4,819.6,1214.2,437.2
2017,717.9,584,865.2,320.1
2018,582.4,473.8,701.9,264.6
2019,714.9,581.6,861.6,330.8
2020,655,532.9,789.4,305.3
2021,547.5,445.4,659.9,257.1
2022,587.7,478.1,708.3,275.9
2023,908,738.7,1094.3,426.3
2024,945.2,768.9,1139.1,443.8
