year,births
1950,1641
1951,1680
1952,1718
1953,1761
1954,1801
1955,1838
1956,1874
1957,1914
1958,1953
1959,1998
1960,2051
1961,2107
1962,2134
1963,2163
1964,2196
1965,2246
1966,2297
1967,2265
1968,2225
1969,2183
1970,2189
1971,2192
1972,2182
1973,2172
1974,2184
1975,2162
1976,2147
1977,2153
1978,2166
1979,2178
1980,2252
1981,2322
1982,2391
1983,2446
1984,2515
1985,2586
1986,2641
1987,2688
1988,2727
1989,2773
1990,2824
1991,2868
1992,2857
1993,2833
1994,2833
1995,2842
1996,2872
1997,2872
1998,2858
1999,2829
2000,2791
2001,2757
2002,2714
2003,2692
2004,2776
2005,2861
2006,2974
2007,3097
2008,3213
2009,3309
2010,3397
2011,3477
2012,3458
2013,3420
2014,3381
2015,3371
2016,3378
2017,3401
2018,3432
2019,3448
2020,3449
2021,3455
2022,3445
2023,3421
2024,3405
2025,3385
2026,3370
2027,3363
2028,3363
2029,3368
2030,3376
