name,year,age,mxB
Kiribati,2025,0,0.04346117
Kiribati,2025,1,0.00435367
Kiribati,2025,2,0.00321087
Kiribati,2025,3,0.0023874
Kiribati,2025,4,0.00180383
Kiribati,2025,5,0.00139725
Kiribati,2025,6,0.00111997
Kiribati,2025,7,0.00093613
Kiribati,2025,8,0.00081967
Kiribati,2025,9,0.0007537
Kiribati,2025,10,0.00072692
Kiribati,2025,11,0.00073329
Kiribati,2025,12,0.00076939
Kiribati,2025,13,0.00083411
Kiribati,2025,14,0.00092602
Kiribati,2025,15,0.0010428
Kiribati,2025,16,0.0011796
Kiribati,2025,17,0.00132786
Kiribati,2025,18,0.00147739
Kiribati,2025,19,0.00161665
Kiribati,2025,20,0.00173686
Kiribati,2025,21,0.00183194
Kiribati,2025,22,0.00190063
Kiribati,2025,23,0.00194555
Kiribati,2025,24,0.00197201
Kiribati,2025,25,0.00198806
Kiribati,2025,26,0.00200415
Kiribati,2025,27,0.00202738
Kiribati,2025,28,0.00206131
Kiribati,2025,29,0.00210883
Kiribati,2025,30,0.00217061
Kiribati,2025,31,0.00224626
Kiribati,2025,32,0.00233433
Kiribati,2025,33,0.00243406
Kiribati,2025,34,0.00254552
Kiribati,2025,35,0.00266846
Kiribati,2025,36,0.00280453
Kiribati,2025,37,0.00295581
Kiribati,2025,38,0.0031241
Kiribati,2025,39,0.00331154
Kiribati,2025,40,0.00352127
Kiribati,2025,41,0.00375673
Kiribati,2025,42,0.00402024
Kiribati,2025,43,0.00431635
Kiribati,2025,44,0.00464679
Kiribati,2025,45,0.00501391
Kiribati,2025,46,0.00541803
Kiribati,2025,47,0.00586483
Kiribati,2025,48,0.00635831
Kiribati,2025,49,0.00688651
Kiribati,2025,50,0.00745804
Kiribati,2025,51,0.00807904
Kiribati,2025,52,0.00875267
Kiribati,2025,53,0.00948834
Kiribati,2025,54,0.01029736
Kiribati,2025,55,0.01119676
Kiribati,2025,56,0.01219459
Kiribati,2025,57,0.01330619
Kiribati,2025,58,0.01452726
Kiribati,2025,59,0.01585871
Kiribati,2025,60,0.01732305
Kiribati,2025,61,0.01892112
Kiribati,2025,62,0.02067604
Kiribati,2025,63,0.02262171
Kiribati,2025,64,0.0247538
Kiribati,2025,65,0.02710789
Kiribati,2025,66,0.02972229
Kiribati,2025,67,0.03263978
Kiribati,2025,68,0.03590869
Kiribati,2025,69,0.03949497
Kiribati,2025,70,0.04346993
Kiribati,2025,71,0.04792732
Kiribati,2025,72,0.052859
Kiribati,2025,73,0.05825571
Kiribati,2025,74,0.0642202
Kiribati,2025,75,0.07087092
Kiribati,2025,76,0.07822191
Kiribati,2025,77,0.08631608
Kiribati,2025,78,0.09531774
Kiribati,2025,79,0.10535919
Kiribati,2025,80,0.11649596
Kiribati,2025,81,0.12873406
Kiribati,2025,82,0.14195625
Kiribati,2025,83,0.15607422
Kiribati,2025,84,0.17098966
Kiribati,2025,85,0.18682231
Kiribati,2025,86,0.20370614
Kiribati,2025,87,0.22156185
Kiribati,2025,88,0.24071127
Kiribati,2025,89,0.26144906
Kiribati,2025,90,0.28328734
Kiribati,2025,91,0.30645607
Kiribati,2025,92,0.33049324
Kiribati,2025,93,0.35491392
Kiribati,2025,94,0.38093276
Kiribati,2025,95,0.40746642
Kiribati,2025,96,0.43368168
Kiribati,2025,97,0.4604119
Kiribati,2025,98,0.48765375
Kiribati,2025,99,0.51495713
Kiribati,2025,100,0.5755731
Kiribati,2026,0,0.04273542
Kiribati,2026,1,0.00427625
Kiribati,2026,2,0.00315414
Kiribati,2026,3,0.00234549
Kiribati,2026,4,0.00177255
Kiribati,2026,5,0.00137312
Kiribati,2026,6,0.00110085
Kiribati,2026,7,0.00092053
Kiribati,2026,8,0.00080601
Kiribati,2026,9,0.00074106
Kiribati,2026,10,0.00071465
Kiribati,2026,11,0.00072097
Kiribati,2026,12,0.00075658
Kiribati,2026,13,0.00082035
Kiribati,2026,14,0.0009109
Kiribati,2026,15,0.00102591
Kiribati,2026,16,0.00116025
Kiribati,2026,17,0.00130541
Kiribati,2026,18,0.00145193
Kiribati,2026,19,0.00158801
Kiribati,2026,20,0.00170599
Kiribati,2026,21,0.00179998
Kiribati,2026,22,0.00186829
Kiribati,2026,23,0.00191336
Kiribati,2026,24,0.00194128
Kiribati,2026,25,0.00195889
Kiribati,2026,26,0.00197479
Kiribati,2026,27,0.00199757
Kiribati,2026,28,0.00203144
Kiribati,2026,29,0.00207869
Kiribati,2026,30,0.00213966
Kiribati,2026,31,0.00221469
Kiribati,2026,32,0.00230235
Kiribati,2026,33,0.00240146
Kiribati,2026,34,0.00251207
Kiribati,2026,35,0.00263474
Kiribati,2026,36,0.00277024
Kiribati,2026,37,0.00292016
Kiribati,2026,38,0.00308734
Kiribati,2026,39,0.00327395
Kiribati,2026,40,0.00348248
Kiribati,2026,41,0.00371658
Kiribati,2026,42,0.00397961
Kiribati,2026,43,0.00427382
Kiribati,2026,44,0.00460347
Kiribati,2026,45,0.0049697
Kiribati,2026,46,0.00537398
Kiribati,2026,47,0.00581684
Kiribati,2026,48,0.00630453
Kiribati,2026,49,0.00684163
Kiribati,2026,50,0.00741532
Kiribati,2026,51,0.00803444
Kiribati,2026,52,0.00870863
Kiribati,2026,53,0.00944126
Kiribati,2026,54,0.01024379
Kiribati,2026,55,0.01112994
Kiribati,2026,56,0.01211641
Kiribati,2026,57,0.01321589
Kiribati,2026,58,0.01444202
Kiribati,2026,59,0.01578828
Kiribati,2026,60,0.01725441
Kiribati,2026,61,0.01885943
Kiribati,2026,62,0.02061135
Kiribati,2026,63,0.02253519
Kiribati,2026,64,0.02467238
Kiribati,2026,65,0.02702618
Kiribati,2026,66,0.02963437
Kiribati,2026,67,0.03254872
Kiribati,2026,68,0.0358089
Kiribati,2026,69,0.03945734
Kiribati,2026,70,0.04345019
Kiribati,2026,71,0.04784263
Kiribati,2026,72,0.05273901
Kiribati,2026,73,0.05813699
Kiribati,2026,74,0.06404421
Kiribati,2026,75,0.070605
Kiribati,2026,76,0.07796387
Kiribati,2026,77,0.08614829
Kiribati,2026,78,0.09518377
Kiribati,2026,79,0.10520408
Kiribati,2026,80,0.11630583
Kiribati,2026,81,0.12846638
Kiribati,2026,82,0.14167139
Kiribati,2026,83,0.15581649
Kiribati,2026,84,0.17083117
Kiribati,2026,85,0.18669593
Kiribati,2026,86,0.20356285
Kiribati,2026,87,0.22160269
Kiribati,2026,88,0.24070804
Kiribati,2026,89,0.26111273
Kiribati,2026,90,0.28304734
Kiribati,2026,91,0.30589066
Kiribati,2026,92,0.32985126
Kiribati,2026,93,0.35453736
Kiribati,2026,94,0.37949728
Kiribati,2026,95,0.40608278
Kiribati,2026,96,0.43324203
Kiribati,2026,97,0.46002289
Kiribati,2026,98,0.48724687
Kiribati,2026,99,0.51476274
Kiribati,2026,100,0.57473552
Kiribati,2027,0,0.04189197
Kiribati,2027,1,0.00419265
Kiribati,2027,2,0.00309407
Kiribati,2027,3,0.00230197
Kiribati,2027,4,0.00174051
Kiribati,2027,5,0.00134911
Kiribati,2027,6,0.00108198
Kiribati,2027,7,0.00090515
Kiribati,2027,8,0.00079305
Kiribati,2027,9,0.00072929
Kiribati,2027,10,0.00070339
Kiribati,2027,11,0.00070971
Kiribati,2027,12,0.00074501
Kiribati,2027,13,0.00080813
Kiribati,2027,14,0.00089769
Kiribati,2027,15,0.00101148
Kiribati,2027,16,0.00114435
Kiribati,2027,17,0.00128738
Kiribati,2027,18,0.00143122
Kiribati,2027,19,0.00156497
Kiribati,2027,20,0.00168058
Kiribati,2027,21,0.0017733
Kiribati,2027,22,0.00184136
Kiribati,2027,23,0.00188675
Kiribati,2027,24,0.00191531
Kiribati,2027,25,0.00193457
Kiribati,2027,26,0.0019521
Kiribati,2027,27,0.00197474
Kiribati,2027,28,0.00200825
Kiribati,2027,29,0.00205551
Kiribati,2027,30,0.00211633
Kiribati,2027,31,0.00219077
Kiribati,2027,32,0.00227791
Kiribati,2027,33,0.00237677
Kiribati,2027,34,0.00248694
Kiribati,2027,35,0.00260896
Kiribati,2027,36,0.00274453
Kiribati,2027,37,0.00289412
Kiribati,2027,38,0.00306008
Kiribati,2027,39,0.00324579
Kiribati,2027,40,0.00345379
Kiribati,2027,41,0.00368694
Kiribati,2027,42,0.00394886
Kiribati,2027,43,0.00424307
Kiribati,2027,44,0.00457115
Kiribati,2027,45,0.00493715
Kiribati,2027,46,0.00534097
Kiribati,2027,47,0.00578478
Kiribati,2027,48,0.00626888
Kiribati,2027,49,0.00680035
Kiribati,2027,50,0.00738495
Kiribati,2027,51,0.0080071
Kiribati,2027,52,0.00868027
Kiribati,2027,53,0.00941466
Kiribati,2027,54,0.01021489
Kiribati,2027,55,0.01109483
Kiribati,2027,56,0.01206689
Kiribati,2027,57,0.0131551
Kiribati,2027,58,0.01436941
Kiribati,2027,59,0.0157229
Kiribati,2027,60,0.01720671
Kiribati,2027,61,0.01881426
Kiribati,2027,62,0.02057539
Kiribati,2027,63,0.02249791
Kiribati,2027,64,0.02461388
Kiribati,2027,65,0.02697529
Kiribati,2027,66,0.0295841
Kiribati,2027,67,0.03249409
Kiribati,2027,68,0.03575327
Kiribati,2027,69,0.03939501
Kiribati,2027,70,0.04345549
Kiribati,2027,71,0.04786808
Kiribati,2027,72,0.05269938
Kiribati,2027,73,0.05806322
Kiribati,2027,74,0.06397489
Kiribati,2027,75,0.07047818
Kiribati,2027,76,0.07774419
Kiribati,2027,77,0.08594024
Kiribati,2027,78,0.09507114
Kiribati,2027,79,0.10512731
Kiribati,2027,80,0.11620941
Kiribati,2027,81,0.12833701
Kiribati,2027,82,0.14146662
Kiribati,2027,83,0.15559743
Kiribati,2027,84,0.170646
Kiribati,2027,85,0.1866249
Kiribati,2027,86,0.20353074
Kiribati,2027,87,0.22155415
Kiribati,2027,88,0.24085464
Kiribati,2027,89,0.26120812
Kiribati,2027,90,0.28279913
Kiribati,2027,91,0.30574548
Kiribati,2027,92,0.32938597
Kiribati,2027,93,0.35400389
Kiribati,2027,94,0.37924302
Kiribati,2027,95,0.40476197
