name,year,age,pop
Kiribati,2025,0,3256
Kiribati,2025,1,3231
Kiribati,2025,2,3226
Kiribati,2025,3,3234
Kiribati,2025,4,3233
Kiribati,2025,5,3206
Kiribati,2025,6,3208
Kiribati,2025,7,3148
Kiribati,2025,8,3097
Kiribati,2025,9,3057
Kiribati,2025,10,3027
Kiribati,2025,11,3011
Kiribati,2025,12,3020
Kiribati,2025,13,3021
Kiribati,2025,14,3009
Kiribati,2025,15,2905
Kiribati,2025,16,2774
Kiribati,2025,17,2676
Kiribati,2025,18,2539
Kiribati,2025,19,2381
Kiribati,2025,20,2235
Kiribati,2025,21,2124
Kiribati,2025,22,2046
Kiribati,2025,23,2087
Kiribati,2025,24,2170
Kiribati,2025,25,2230
Kiribati,2025,26,2286
Kiribati,2025,27,2316
Kiribati,2025,28,2324
Kiribati,2025,29,2308
Kiribati,2025,30,2244
Kiribati,2025,31,2191
Kiribati,2025,32,2129
Kiribati,2025,33,2099
Kiribati,2025,34,2066
Kiribati,2025,35,2004
Kiribati,2025,36,1916
Kiribati,2025,37,1866
Kiribati,2025,38,1841
Kiribati,2025,39,1801
Kiribati,2025,40,1750
Kiribati,2025,41,1711
Kiribati,2025,42,1642
Kiribati,2025,43,1567
Kiribati,2025,44,1487
Kiribati,2025,45,1405
Kiribati,2025,46,1365
Kiribati,2025,47,1224
Kiribati,2025,48,1174
Kiribati,2025,49,1111
Kiribati,2025,50,1055
Kiribati,2025,51,1018
Kiribati,2025,52,998
Kiribati,2025,53,986
Kiribati,2025,54,981
Kiribati,2025,55,986
Kiribati,2025,56,1001
Kiribati,2025,57,1015
Kiribati,2025,58,1024
Kiribati,2025,59,1006
Kiribati,2025,60,960
Kiribati,2025,61,912
Kiribati,2025,62,870
Kiribati,2025,63,814
Kiribati,2025,64,746
Kiribati,2025,65,675
Kiribati,2025,66,601
Kiribati,2025,67,541
Kiribati,2025,68,481
Kiribati,2025,69,437
Kiribati,2025,70,393
Kiribati,2025,71,355
Kiribati,2025,72,324
Kiribati,2025,73,299
Kiribati,2025,74,273
Kiribati,2025,75,249
Kiribati,2025,76,224
Kiribati,2025,77,198
Kiribati,2025,78,173
Kiribati,2025,79,153
Kiribati,2025,80,136
Kiribati,2025,81,118
Kiribati,2025,82,106
Kiribati,2025,83,91
Kiribati,2025,84,74
Kiribati,2025,85,58
Kiribati,2025,86,44
Kiribati,2025,87,33
Kiribati,2025,88,24
Kiribati,2025,89,17
Kiribati,2025,90,12
Kiribati,2025,91,9
Kiribati,2025,92,7
Kiribati,2025,93,5
Kiribati,2025,94,3
Kiribati,2025,95,3
Kiribati,2025,96,1
Kiribati,2025,97,1
Kiribati,2025,98,0
Kiribati,2025,99,0
Kiribati,2025,100,0
Kiribati,2026,0,3244
Kiribati,2026,1,3215
Kiribati,2026,2,3210
Kiribati,2026,3,3209
Kiribati,2026,4,3220
Kiribati,2026,5,3221
Kiribati,2026,6,3195
Kiribati,2026,7,3199
Kiribati,2026,8,3141
Kiribati,2026,9,3089
Kiribati,2026,10,3051
Kiribati,2026,11,3022
Kiribati,2026,12,3005
Kiribati,2026,13,3014
Kiribati,2026,14,3015
Kiribati,2026,15,3002
Kiribati,2026,16,2897
Kiribati,2026,17,2765
Kiribati,2026,18,2664
Kiribati,2026,19,2523
Kiribati,2026,20,2363
Kiribati,2026,21,2216
Kiribati,2026,22,2104
Kiribati,2026,23,2026
Kiribati,2026,24,2066
Kiribati,2026,25,2149
Kiribati,2026,26,2210
Kiribati,2026,27,2267
Kiribati,2026,28,2298
Kiribati,2026,29,2307
Kiribati,2026,30,2292
Kiribati,2026,31,2229
Kiribati,2026,32,2176
Kiribati,2026,33,2116
Kiribati,2026,34,2086
Kiribati,2026,35,2053
Kiribati,2026,36,1992
Kiribati,2026,37,1905
Kiribati,2026,38,1854
Kiribati,2026,39,1831
Kiribati,2026,40,1791
Kiribati,2026,41,1739
Kiribati,2026,42,1700
Kiribati,2026,43,1632
Kiribati,2026,44,1558
Kiribati,2026,45,1476
Kiribati,2026,46,1395
Kiribati,2026,47,1354
Kiribati,2026,48,1213
Kiribati,2026,49,1164
Kiribati,2026,50,1100
Kiribati,2026,51,1045
Kiribati,2026,52,1007
Kiribati,2026,53,987
Kiribati,2026,54,975
Kiribati,2026,55,968
Kiribati,2026,56,972
Kiribati,2026,57,986
Kiribati,2026,58,1000
Kiribati,2026,59,1006
Kiribati,2026,60,988
Kiribati,2026,61,942
Kiribati,2026,62,892
Kiribati,2026,63,851
Kiribati,2026,64,793
Kiribati,2026,65,725
Kiribati,2026,66,655
Kiribati,2026,67,581
Kiribati,2026,68,521
Kiribati,2026,69,462
Kiribati,2026,70,418
Kiribati,2026,71,374
Kiribati,2026,72,336
Kiribati,2026,73,305
Kiribati,2026,74,280
Kiribati,2026,75,254
Kiribati,2026,76,231
Kiribati,2026,77,207
Kiribati,2026,78,181
Kiribati,2026,79,156
Kiribati,2026,80,137
Kiribati,2026,81,120
Kiribati,2026,82,103
Kiribati,2026,83,92
Kiribati,2026,84,78
Kiribati,2026,85,62
Kiribati,2026,86,48
Kiribati,2026,87,35
Kiribati,2026,88,26
Kiribati,2026,89,19
Kiribati,2026,90,13
Kiribati,2026,91,9
Kiribati,2026,92,6
Kiribati,2026,93,5
Kiribati,2026,94,4
Kiribati,2026,95,2
Kiribati,2026,96,1
Kiribati,2026,97,1
Kiribati,2026,98,0
Kiribati,2026,99,0
Kiribati,2026,100,0
Kiribati,2027,0,3239
Kiribati,2027,1,3204
Kiribati,2027,2,3195
Kiribati,2027,3,3194
Kiribati,2027,4,3195
Kiribati,2027,5,3209
Kiribati,2027,6,3211
Kiribati,2027,7,3186
Kiribati,2027,8,3191
Kiribati,2027,9,3134
Kiribati,2027,10,3082
Kiribati,2027,11,3044
Kiribati,2027,12,3016
Kiribati,2027,13,3000
Kiribati,2027,14,3008
Kiribati,2027,15,3010
Kiribati,2027,16,2994
Kiribati,2027,17,2888
Kiribati,2027,18,2752
Kiribati,2027,19,2648
Kiribati,2027,20,2505
Kiribati,2027,21,2344
Kiribati,2027,22,2196
Kiribati,2027,23,2085
Kiribati,2027,24,2006
Kiribati,2027,25,2047
Kiribati,2027,26,2130
Kiribati,2027,27,2191
Kiribati,2027,28,2250
Kiribati,2027,29,2281
Kiribati,2027,30,2291
Kiribati,2027,31,2277
Kiribati,2027,32,2215
Kiribati,2027,33,2162
Kiribati,2027,34,2103
